('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         946750 function calls (925996 primitive calls) in 1.779 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      281    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.134    0.134 element.py:1(<module>)
      274    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
       29    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        3    0.000    0.000    0.000    0.000 feedparser.py:100(push)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.769    0.769 client.py:324(begin)
        1    0.000    0.000    0.040    0.040 ssl.py:956(_create)
       20    0.000    0.000    0.001    0.000 typing.py:740(Optional)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
      276    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
        1    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        1    0.000    0.000    0.026    0.026 client.py:1(<module>)
      153    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       81    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      122    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
      179    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.770    0.770 client.py:1384(getresponse)
    16/12    0.000    0.000    0.078    0.006 {built-in method builtins.__import__}
   108/90    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        4    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
       14    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
      196    0.000    0.000    0.000    0.000 enum.py:1292(value)
        1    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
       10    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        5    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       68    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
